Experiment	bias spectroscopy	
Date	07.07.2020 15:01:50	
User		
X (m)	1.10123E-6	
Y (m)	1.89724E-6	
Z (m)	99.2194E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	600E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Vert. Deflection (V)	X (m)	Y (m)	Z (m)	Excitation (V)	Current [bwd] (A)	Vert. Deflection [bwd] (V)	X [bwd] (m)	Y [bwd] (m)	Z [bwd] (m)	Excitation [bwd] (V)	Current (A) [filt]	Vert. Deflection (V) [filt]	X (m) [filt]	Y (m) [filt]	Z (m) [filt]	Excitation (V) [filt]	Current (A) [bwd] [filt]	Vert. Deflection (V) [bwd] [filt]	X (m) [bwd] [filt]	Y (m) [bwd] [filt]	Z (m) [bwd] [filt]	Excitation (V) [bwd] [filt]
-1.48235E+0	-10.0007E-9	2.00016E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99995E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00005E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99997E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.46667E+0	-10.0007E-9	2.00004E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99995E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00008E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00003E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.45098E+0	-10.0007E-9	2.00003E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00018E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00009E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00005E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.43529E+0	-10.0007E-9	2.00025E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00011E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00009E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00005E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.41961E+0	-10.0007E-9	1.99995E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99994E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00010E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00003E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.40392E+0	-10.0007E-9	2.00014E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00001E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00009E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00005E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.38824E+0	-10.0007E-9	2.00014E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00005E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00006E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00010E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.37255E+0	-10.0007E-9	2.00000E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00034E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00004E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00014E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.35686E+0	-10.0007E-9	1.99995E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00011E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00000E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00013E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.34118E+0	-10.0007E-9	2.00006E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99999E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99997E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00007E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
